Marca temporal,1. Asignatura,2. Selecciona una actividad que realizaste hoy en clase y descríbela en detalle. ¿Qué te pidió hacer la consigna? (no escribas solamente el tema sino también lo que tuviste que hacer).,3. Durante esa misma actividad… (puedes marcar varias opciones)  ,"4.  ¿Sentís que la actividad ""te hizo pensar""? ","5. ¿Qué te hace decir eso? ¿Qué aspectos consideras de la actividad que hicieron que ""pensaras"" de esa manera?"
10/04/2026 15:37:28,Epistemología,"Leí un texto y, tras una exposición de Lakatos, respondí preguntas que relacionan la explicación y el texto.","Expliqué con mis palabras una idea o proceso, Fundamenté una respuesta con ejemplos, datos o información, Identifiqué ideas principales, Solo busqué o recopilé información","Sí, mucho",Tenías que entender los conceptos correctamente.
10/04/2026 15:38:27,Epistemología ,"Nos dio un paper a analizar, decir las partes de ese paper (título, subtítulos, etc..) y hacer una breve síntesis de qué trata cada parte. ","Identifiqué ideas principales, Reflexioné sobre cómo estaba pensando o aprendiendo",Más o menos,
10/04/2026 15:38:30,Epistemologia ,PIC,"Expliqué con mis palabras una idea o proceso, Relacioné ideas entre sí, Relacioné el tema con algo que ya sabía, Comparé elementos o situaciones, Identifiqué ideas principales, Elaboré una conclusión, Formulé preguntas, Analicé distintas formas de ver un mismo tema, Reflexioné sobre cómo estaba pensando o aprendiendo","Sí, mucho",
10/04/2026 15:38:31,Epistemologia y metodología de la ciencia ,hoy realice una guia del tp4 de Lacayos y de paper,"Expliqué con mis palabras una idea o proceso, Fundamenté una respuesta con ejemplos, datos o información","Sí, mucho",La actividad de hoy me hizo pensar de esa manera para lograr entender el tema dado
10/04/2026 15:38:39,Epistemología y metodología de la ciencia ,"Realizamos una actividad referida a la PIC en el pensamiento de Lakatos, tuvimos que analizar conforme a un texto toda la estructura de PiC","Describí características de algo (imagen, fenómeno, texto, etc.), Expliqué con mis palabras una idea o proceso, Relacioné ideas entre sí, Fundamenté una respuesta con ejemplos, datos o información, Identifiqué ideas principales, Elaboré una conclusión, Reflexioné sobre cómo estaba pensando o aprendiendo, Copié o reproduje información del material","Sí, mucho","En si siento que epistemologia es una materia de mucho pensamiento y entendimiento, pero lo que me hizo considerar que tuve que pensar mucho es el análisis del texto y llevarlo a la estructura o el pensamiento de PIC"
10/04/2026 15:39:03,Epistemologia de la ciencia ,"Tuvimos que explicar que se espera de un programa de investigación científica en el área de parasitología, en base a lo que vimos en la clase y del texto de contrastacion de un pic ","Describí características de algo (imagen, fenómeno, texto, etc.), Expliqué con mis palabras una idea o proceso, Relacioné ideas entre sí, Relacioné el tema con algo que ya sabía, Utilice toma de notas ",Más o menos,"Considero que pensar “mucho”  implica leer y comprender un texto, llevarlo al análisis con lo dicho en clase y con lo que se previamente y rescatar las ideas principales secundarias y relacionarlas, esta actividad fue un conjunto de estas actividades razonables pero en menor medida por la extensión de lo que era la respuesta "
10/04/2026 15:39:08,Epistemología y metodologías de las ciencias ,"tuve que leer un artículo de programa de investigación científica de parasitología, tuve q describir las partes de un pic relacionándolas con el artículo ",Copié o reproduje información del material,Más o menos,Me hizo pensar en los métodos y formas de escribir artículos 
10/04/2026 15:39:33,Epistemologia y metodología de la ciencia,Una de las actividades nos pedía describir el núcleo tenaz del PIC en base a un paper de parasitologia.,"Expliqué con mis palabras una idea o proceso, Fundamenté una respuesta con ejemplos, datos o información, Identifiqué ideas principales, Solo busqué o recopilé información","Sí, mucho","Me gustó que la actividad al hablar del núcleo servía para buscar el tema troncal del texto y en base a eso identificar que cosas lo sostenian, la experimentación que se hizo y las personas que aportaron, que aportaron, como lo hicieron, que criticaron y que pensaron. Me ayudó mucho a entender el tema principal."
10/04/2026 15:39:45,Epistemología ,Trabajar con pics para poder asociar y encontrar diferentes puntos y metodologías de la misma ,"Expliqué con mis palabras una idea o proceso, Relacioné ideas entre sí, Identifiqué ideas principales",Más o menos,"Seguir la corriente que estamos estudiando, asociarme al lenguaje de la pic y poder pensar con los investigadores"
10/04/2026 15:40:27,Epistemología ,La profe nos pidió que escribiéramos las partes de un ensayo científico. Escribí todos los subtítulos y describí más o menos lo que pensé que significaba cada uno,"Describí características de algo (imagen, fenómeno, texto, etc.), Expliqué con mis palabras una idea o proceso, Relacioné ideas entre sí, Relacioné el tema con algo que ya sabía, Comparé elementos o situaciones, Reflexioné sobre cómo estaba pensando o aprendiendo",Más o menos,"Considero que “pensé” más o menos porque no es un actividad que haya necesitado de toda mi concentración, ya que la considero fácil en comparación con otras materias. Si me hizo pensar, porque creo que todo nos hace pensar en cierta medida pero si la pongo en la balanza  con otras materias no necesite de toda mi concentración. "
